GRADO,ESTANDARD,HORNER
10,44,29,
20,85,45,
30,148,64,
40,225,87,
50,369,103,
60,536,121,
70,749,139,
80,1112,158,
90,1376,176,
100,1752,194,
110,2192,227,
120,2703,230,
130,3272,249,
140,3831,260,
150,4534,284,
160,5290,289,
170,6117,312,
180,6993,328,
190,8020,343,
200,9129,362,
210,10286,381,
220,11501,391,
230,12667,404,
240,14372,429,
250,15758,451,
260,17677,467,
270,19241,483,
280,20531,486,
290,22481,522,
300,24387,543,
310,26702,560,
320,28158,569,
330,31652,602,
340,33639,602,
350,36232,613,
360,36945,620,
370,40218,654,
380,48337,704,
390,48883,798,
400,54317,741,
410,54895,765,
420,57883,774,
430,60713,792,
440,62146,834,
450,64619,818,
460,70427,805,
470,73134,839,
480,76401,829,
490,79459,896,
500,81863,883,
510,89852,954,
520,92486,898,
530,93300,930,
540,95522,925,
550,98377,1004,
560,101134,962,
570,106545,989,
580,110590,1044,
590,114807,1016,
600,119297,1027,
610,123038,1088,
620,127818,1057,
630,138177,1117,
640,136692,1094,
650,142638,1131,
660,147922,1178,
670,152532,1162,
680,155919,1157,
690,161850,1237,
700,166894,1192,
710,172243,1234,
720,178488,1248,
730,184146,1262,
740,188565,1394,
750,194211,1311,
760,199985,1315,
770,205281,1339,
780,211931,1325,
790,217850,1369,
800,223016,1358,
810,229360,1407,
820,237163,1421,
830,242263,1446,
840,248489,1534,
850,255105,1497,
860,261798,1473,
870,267893,1522,
880,274964,1547,
890,281208,1597,
900,287231,1615,
910,295521,1566,
920,301027,1576,
930,310859,1602,
940,316754,1634,
950,323072,1627,
960,332040,1626,
970,339180,1708,
980,346326,1657,
990,354338,1687,
1000,369400,1728,
